#Keyword Types: 335
#Keyword Tokens: 14674
#Search Hits: 1
1	677	+	2500.67	0.0417	вот
2	464	+	2173.15	0.0293	ну
3	860	+	1681.62	0.0484	я
4	457	+	1678.74	0.0286	да
5	165	+	1124.26	0.0106	ээ
6	143	+	974.26	0.0092	нрзб
7	113	+	769.76	0.0073	эээ
8	257	+	679.68	0.0161	там
9	110	+	628.37	0.0071	э
10	281	+	622.6	0.0175	вы
11	81	+	551.7	0.0052	аа
12	198	+	514.12	0.0125	ты
13	621	+	489.8	0.0329	а
14	50	+	340.5	0.0032	щас
15	328	+	336.56	0.0193	у
16	374	+	319.72	0.0215	мы
17	569	+	300.41	0.0295	то
18	49	+	287.99	0.0032	мм
19	43	+	283.35	0.0028	угу
20	147	+	258.3	0.0093	знать
21	480	+	254.85	0.0257	это
22	184	+	199.35	0.0113	говорить
23	28	+	190.66	0.0018	ааа
24	665	+	171.07	0.0312	быть
25	27	+	164.55	0.0017	ага
26	24	+	163.42	0.0016	ж
27	24	+	163.42	0.0016	чтоб
28	26	+	162.77	0.0017	че
29	60	+	154.47	0.0039	ходить
30	159	+	148.35	0.0098	какой
31	28	+	145.01	0.0018	баба
32	24	+	137.1	0.0016	ой
33	20	+	136.18	0.0013	сделать
34	83	+	130.62	0.0053	тут
35	18	+	122.56	0.0012	взять
36	17	+	115.75	0.0011	посмотреть
37	17	+	115.75	0.0011	типа
38	21	+	109.37	0.0014	пацан
39	91	+	108.2	0.0058	потому
40	79	+	104.26	0.005	здесь
41	37	+	102.95	0.0024	наверное
42	15	+	102.13	0.001	ко
43	15	+	102.13	0.001	прям
44	15	+	102.13	0.001	родиться
45	22	+	100.86	0.0014	здравствовать
46	211	+	98.45	0.0125	все
47	14	+	95.33	0.0009	смеется
48	200	+	95.16	0.0119	так
49	15	+	94.72	0.001	це
50	78	+	89.15	0.0049	мой
51	13	+	88.52	0.0008	дак
52	335	+	88.37	0.0182	как
53	70	+	80.23	0.0044	ребенок
54	15	+	79.98	0.001	горшок
55	35	+	74.97	0.0023	туда
56	11	+	74.9	0.0007	шо
57	69	+	74.26	0.0044	тоже
58	13	+	73.28	0.0008	пахать
59	105	+	73.2	0.0065	сказать
60	52	+	72.65	0.0033	пойти
61	63	+	71.48	0.004	жить
62	55	+	70.81	0.0035	понимать
63	145	+	68.69	0.0088	уже
64	10	+	68.09	0.0006	бессоновка
65	22	+	68.02	0.0014	бабушка
66	17	+	67.24	0.0011	ладно
67	25	+	66.56	0.0016	деревня
68	21	+	66.38	0.0014	сорок
69	200	+	66.19	0.0117	она
70	14	+	65.14	0.0009	шестьдесят
71	17	+	63.82	0.0011	вон
72	33	+	62.46	0.0021	значить
73	28	+	61.68	0.0018	со
74	9	+	61.28	0.0006	морозко
75	9	+	61.28	0.0006	нету
76	9	+	61.28	0.0006	попков
77	24	+	57.86	0.0015	двадцать
78	10	+	57.41	0.0006	хата
79	94	+	57.37	0.0059	очень
80	17	+	56.27	0.0011	мужик
81	21	+	55.97	0.0014	слушать
82	9	+	54.85	0.0006	ха
83	40	+	54.56	0.0026	сколько
84	28	+	54.5	0.0018	учиться
85	8	+	54.47	0.0005	бурлак
86	8	+	54.47	0.0005	об
87	8	+	54.47	0.0005	увидеть
88	535	+	53.01	0.0252	что
89	83	+	52.21	0.0052	нет
90	24	+	50.58	0.0015	приехать
91	31	+	50.26	0.002	опять
92	166	+	50.05	0.0099	такой
93	13	+	49.71	0.0008	кидать
94	31	+	49.46	0.002	помнить
95	15	+	49.21	0.001	пожалуйста
96	8	+	48.26	0.0005	бренчать
97	8	+	48.26	0.0005	дагестанец
98	7	+	47.66	0.0005	мхм
99	7	+	47.66	0.0005	написать
100	7	+	47.66	0.0005	поговорить
101	7	+	47.66	0.0005	смочь
102	29	+	47.61	0.0019	рассказать
103	14	+	46.93	0.0009	сказка
104	15	+	46.14	0.001	девять
105	18	+	45.75	0.0012	тридцать
106	9	+	45.5	0.0006	девка
107	56	+	45.36	0.0036	конечно
108	80	+	44.28	0.005	где
109	30	+	43.01	0.0019	ваш
110	25	+	42.92	0.0016	м
111	34	+	42.44	0.0022	про
112	31	+	42.44	0.002	сидеть
113	627	+	41.88	0.0276	не
