#Total No. of Collocate Types: 146
#Total No. of Collocate Tokens: 1023
1	72	41	31	1.88382	и
2	50	40	10	2.29744	ну
3	48	20	28	1.34833	я
4	47	18	29	3.42229	так
5	44	9	35	3.00521	этот
6	34	17	17	1.19601	вот
7	33	9	24	1.64906	это
8	33	21	12	1.27750	а
9	32	10	22	2.12354	как
10	28	25	3	1.48286	да
11	21	13	8	0.84048	что
12	18	0	18	0.20170	в
13	17	7	10	2.22398	такой
14	17	15	2	0.22181	быть
15	16	4	12	1.50594	там
16	16	7	9	0.96467	мы
17	15	3	12	1.23854	он
18	15	3	12	0.89097	на
19	14	5	9	1.95259	ээ
20	13	1	12	1.07757	вы
21	12	9	3	1.89685	знать
22	11	0	11	0.61344	у
23	11	10	1	-0.18129	то
24	11	8	3	1.44743	говорить
25	11	3	8	1.24989	все
26	10	6	4	2.11924	сказать
27	9	2	7	2.30645	тут
28	9	1	8	1.04486	они
29	9	2	7	2.34163	если
30	8	2	6	2.86770	щас
31	8	2	6	0.86770	она
32	7	0	7	0.15401	с
33	7	1	6	1.00603	какой
34	7	2	5	2.01513	здесь
35	6	2	4	0.46717	ты
36	6	1	5	-1.19580	не
37	6	2	4	1.41002	мочь
38	6	2	4	1.63709	кто
39	6	3	3	1.70421	еще
40	5	1	4	3.92660	це
41	5	2	3	0.65358	уже
42	5	3	2	1.85621	только
43	5	1	4	2.00060	сейчас
44	5	4	1	2.18963	раз
45	5	1	4	1.10557	к
46	4	1	3	0.73020	э
47	4	2	2	0.65358	человек
48	4	3	1	2.81112	смотреть
49	4	0	4	1.34163	один
50	4	2	2	0.35169	нрзб
51	4	4	0	1.13652	нет
52	4	0	4	1.89685	мм
53	4	3	1	0.79731	который
54	4	0	4	1.01971	за
55	4	4	0	1.53428	жить
56	4	4	0	2.60467	дом
57	4	1	3	2.11924	даже
58	4	3	1	1.17171	аа
59	3	0	3	0.27634	эээ
60	3	2	1	2.14233	сидеть
61	3	3	0	0.73897	себя
62	3	1	2	1.31516	самый
63	3	2	1	2.77459	ребята
64	3	1	2	3.77459	пруд
65	3	2	1	1.67026	почему
66	3	3	0	1.39608	потом
67	3	0	3	-0.29579	по
68	3	1	2	5.09652	одновременный
69	3	2	1	4.51156	одновременно
70	3	0	3	1.48181	о
71	3	2	1	3.92660	начаться
72	3	0	3	3.18963	например
73	3	2	1	1.36860	надо
74	3	1	2	2.00906	можно
75	3	1	2	0.41002	когда
76	3	0	3	0.84859	из
77	3	1	2	1.54193	идти
78	3	1	2	2.05213	значить
79	3	1	2	4.09652	ее
80	3	2	1	2.00906	думать
81	2	2	0	4.18963	штука
82	2	2	0	4.92660	школьник
83	2	1	1	1.38228	чтобы
84	2	2	0	2.42410	цена
85	2	1	1	1.26363	хотеть
86	2	2	0	0.60467	ходить
87	2	1	1	1.81112	тогда
88	2	2	0	4.18963	технология
89	2	2	0	2.51156	теперь
90	2	2	0	5.51156	темно
91	2	1	1	3.05213	сын
92	2	1	1	3.05213	собирать
93	2	2	0	3.05213	снег
94	2	1	1	2.11924	слушать
95	2	0	2	1.11924	сегодня
96	2	2	0	1.65358	рассказать
97	2	2	0	4.18963	район
98	2	2	0	4.51156	пустить
99	2	1	1	3.51156	простой
100	2	2	0	3.92660	происходить
101	2	2	0	2.51156	правильно
102	2	1	1	1.51156	поэтому
103	2	0	2	0.00377	потому
104	2	1	1	0.73020	понимать
105	2	2	0	4.51156	покупать
106	2	2	0	3.92660	поглядеть
107	2	2	0	4.51156	платок
108	2	1	1	4.51156	педагог
109	2	0	2	3.18963	оттуда
110	2	2	0	2.05213	отец
111	2	0	2	1.55736	опять
112	2	1	1	6.51156	обыск
113	2	0	2	-0.28286	но
114	2	1	1	2.11924	начать
115	2	2	0	2.60467	называться
116	2	1	1	1.30211	наверное
117	2	0	2	0.22616	мой
118	2	1	1	2.11924	мама
119	2	2	0	2.70421	любить
120	2	2	0	2.60467	купить
121	2	2	0	4.92660	кормить
122	2	0	2	3.18963	книжка
123	2	2	0	3.05213	кавказ
124	2	0	2	2.34163	интересный
125	2	1	1	2.51156	именно
126	2	2	0	0.44547	или
127	2	2	0	2.81112	здание
128	2	1	1	3.92660	зарабатывать
129	2	2	0	1.34163	жизнь
130	2	2	0	3.34163	дорога
131	2	2	0	1.46717	дело
132	2	2	0	0.89685	делать
133	2	0	2	0.67867	два
134	2	1	1	1.75667	дать
135	2	0	2	2.51156	далеко
136	2	2	0	2.81112	дак
137	2	2	0	-0.81037	год
138	2	0	2	1.18963	вообще
139	2	1	1	2.42410	вон
140	2	0	2	-0.81037	весь
141	2	2	0	5.51156	вводить
142	2	2	0	-0.26980	бы
143	2	0	2	3.70421	буквально
144	2	2	0	2.51156	брать
145	2	1	1	3.34163	болеть
146	2	0	2	1.70421	баба
